X [m],Y [m],Z [m],Heat Transfer Coefficient [W/m^2/K]
0.0015,0.0915,0.003,2.632471696
0.0015,0.0925,0,5.014885403
0.0015,0.0925,0.003,2.711998706
0.0015,0.0935,0,5.219391636
0.0015,0.0935,0.003,2.791525716
0.0015,0.0945,0,6.496822457
0.0015,0.0945,0.003,3.384733179
0.0015,0.0955,0,9.262406893
0.0015,0.0955,0.003,4.690418885
0.0015,0.0965,0,12.02799133
0.0015,0.0965,0.003,5.996104592
0.0015,0.0975,0,14.79357576
0.0015,0.0975,0.003,7.301790298
0.0015,0.0985,0,16.67069575
0.0015,0.0985,0.003,8.195067808
0.0015,0.0995,0,17.65555737
0.0015,0.0995,0.003,8.674176054
0.0025,0.0005,0,6.440975182
0.0025,0.0005,0.003,1.913201147
0.0025,0.0015,0,6.426235438
0.0025,0.0015,0.003,1.969107239
0.0025,0.0025,0,6.411495695
0.0025,0.0025,0.003,2.025013332
0.0025,0.0035,0,6.396755951
0.0025,0.0035,0.003,2.080919424
0.0025,0.0045,0,6.363953239
0.0025,0.0045,0.003,2.13290189
0.0025,0.0055,0,6.318013126
0.0025,0.0055,0.003,2.182030658
0.0025,0.0065,0,6.272073012
0.0025,0.0065,0.003,2.231159426
0.0025,0.0075,0,6.226132899
0.0025,0.0075,0.003,2.280288194
0.0025,0.0085,0,6.156235969
0.0025,0.0085,0.003,2.262068881
0.0025,0.0095,0,6.073938966
0.0025,0.0095,0.003,2.208990134
0.0025,0.0105,0,5.991641964
0.0025,0.0105,0.003,2.155911388
0.0025,0.0115,0,5.909344962
0.0025,0.0115,0.003,2.102832641
0.0025,0.0125,0,5.805285332
0.0025,0.0125,0.003,2.056038585
0.0025,0.0135,0,5.693536976
0.0025,0.0135,0.003,2.011464907
0.0025,0.0145,0,5.58178862
0.0025,0.0145,0.003,1.966891229
0.0025,0.0155,0,5.470040265
0.0025,0.0155,0.003,1.922317551
0.0025,0.0165,0,5.356553827
0.0025,0.0165,0.003,1.975623794
0.0025,0.0175,0,5.242683101
0.0025,0.0175,0.003,2.050571145
0.0025,0.0185,0,5.128812376
0.0025,0.0185,0.003,2.125518496
0.0025,0.0195,0,5.014941651
0.0025,0.0195,0.003,2.200465846
0.0025,0.0205,0,4.940624652
0.0025,0.0205,0.003,2.319693882
0.0025,0.0215,0,4.870754594
0.0025,0.0215,0.003,2.443900299
0.0025,0.0225,0,4.800884535
0.0025,0.0225,0.003,2.568106717
0.0025,0.0235,0,4.731014476
0.0025,0.0235,0.003,2.692313134
0.0025,0.0245,0,4.682351025
0.0025,0.0245,0.003,2.703399174
0.0025,0.0255,0,4.634143909
0.0025,0.0255,0.003,2.712051025
0.0025,0.0265,0,4.585936793
0.0025,0.0265,0.003,2.720702876
0.0025,0.0275,0,4.535630025
0.0025,0.0275,0.003,2.721467322
0.0025,0.0285,0,4.451796166
0.0025,0.0285,0.003,2.596286264
0.0025,0.0295,0,4.367962308
0.0025,0.0295,0.003,2.471105206
0.0025,0.0305,0,4.284128449
0.0025,0.0305,0.003,2.345924148
0.0025,0.0315,0,4.198325685
0.0025,0.0315,0.003,2.220738877
0.0025,0.0325,0,4.100320386
0.0025,0.0325,0.003,2.095527495
0.0025,0.0335,0,4.002315088
0.0025,0.0335,0.003,1.970316113
0.0025,0.0345,0,3.904309789
0.0025,0.0345,0.003,1.845104732
0.0025,0.0355,0,3.801088919
0.0025,0.0355,0.003,1.742729735
0.0025,0.0365,0,3.679261127
0.0025,0.0365,0.003,1.721825176
0.0025,0.0375,0,3.557433335
0.0025,0.0375,0.003,1.700920617
0.0025,0.0385,0,3.435605543
0.0025,0.0385,0.003,1.680016057
0.0025,0.0395,0,3.305778117
0.0025,0.0395,0.003,1.678360357
0.0025,0.0405,0,3.157189856
0.0025,0.0405,0.003,1.721847309
0.0025,0.0415,0,3.008601595
0.0025,0.0415,0.003,1.765334261
0.0025,0.0425,0,2.860013334
0.0025,0.0425,0.003,1.808821213
0.0025,0.0435,0,2.722421105
0.0025,0.0435,0.003,1.83803167
0.0025,0.0445,0,2.602851121
0.0025,0.0445,0.003,1.843843281
0.0025,0.0455,0,2.483281136
0.0025,0.0455,0.003,1.849654892
0.0025,0.0465,0,2.363711152
0.0025,0.0465,0.003,1.855466503
0.0025,0.0475,0,2.271813277
0.0025,0.0475,0.003,1.840670087
0.0025,0.0485,0,2.212539688
0.0025,0.0485,0.003,1.801577648
